X,ScientificName,latitude,longitude,GRA,MAC,MCC,RMM,SAG,SCR
12376,Oligosoma maccanni,-45.01931447,169.9973084,0,0,1,0,0,0
12377,Oligosoma maccanni,-45.53404801,169.3413823,0,0,1,0,0,0
12378,Oligosoma maccanni,-45.36383993,169.3745747,0,0,1,0,0,0
12379,Oligosoma maccanni,-45.19158314,169.3343022,0,0,1,0,0,0
12380,Oligosoma maccanni,-45.23271672,169.3852698,0,0,1,0,0,0
12381,Oligosoma maccanni,-45.22989446,169.3593354,0,0,1,0,0,0
12382,Oligosoma maccanni,-45.31786806,169.5238159,0,0,1,0,0,0
12383,Oligosoma maccanni,-45.30833056,169.4435942,0,0,1,0,0,0
12384,Oligosoma maccanni,-45.00399174,169.7869291,0,0,1,0,0,0
12385,Oligosoma maccanni,-45.01286609,169.9252482,0,0,1,0,0,0
12386,Oligosoma maccanni,-45.01810709,169.5194872,0,0,1,0,0,0
12387,Oligosoma maccanni,-44.93042838,169.7805598,0,0,1,0,0,0
12388,Oligosoma maccanni,-45.14911765,169.6723942,0,0,1,0,0,0
12389,Oligosoma maccanni,-44.9529587,169.9790702,0,0,1,0,0,0
12390,Oligosoma maccanni,-45.08065583,169.9353435,0,0,1,0,0,0
12391,Oligosoma maccanni,-45.05603552,168.7392491,0,0,1,0,0,0
12392,Oligosoma maccanni,-44.91736524,169.8456599,0,0,1,0,0,0
12393,Oligosoma maccanni,-45.09137958,169.9115558,0,0,1,0,0,0
12394,Oligosoma maccanni,-45.22145885,169.5477187,0,0,1,0,0,0
12395,Oligosoma maccanni,-44.90950017,169.8661832,0,0,1,0,0,0
12396,Oligosoma maccanni,-45.17312053,169.8199005,0,0,1,0,0,0
12397,Oligosoma maccanni,-45.16505323,169.6084159,0,0,1,0,0,0
12398,Oligosoma maccanni,-45.19476291,169.8093763,0,0,1,0,0,0
12399,Oligosoma maccanni,-45.25882768,169.6682579,0,0,1,0,0,0
12400,Oligosoma maccanni,-45.33621395,169.8435515,0,0,1,0,0,0
12401,Oligosoma maccanni,-45.18093276,169.5026749,0,0,1,0,0,0
12402,Oligosoma maccanni,-45.15280619,169.3805758,0,0,1,0,0,0
12403,Oligosoma maccanni,-45.2466812,169.3902746,0,0,1,0,0,0
12404,Oligosoma maccanni,-45.32147844,169.3618881,0,0,1,0,0,0
12405,Oligosoma maccanni,-45.27593227,169.3957308,0,0,1,0,0,0
12406,Oligosoma maccanni,-45.25317187,169.4773337,0,0,1,0,0,0
12407,Oligosoma maccanni,-45.27458589,169.2370446,0,0,1,0,0,0
12408,Oligosoma maccanni,-45.15274385,169.2011087,0,0,1,0,0,0
12409,Oligosoma maccanni,-45.29491138,169.3310979,0,0,1,0,0,0
12410,Oligosoma maccanni,-45.41257068,169.3689725,0,0,1,0,0,0
12411,Oligosoma maccanni,-45.37389599,169.3045096,0,0,1,0,0,0
12412,Oligosoma maccanni,-45.4445027,170.0560807,0,0,1,0,0,0
12413,Oligosoma maccanni,-45.45331864,169.9452158,0,0,1,0,0,0
12414,Oligosoma maccanni,-45.39088059,169.9182156,0,0,1,0,0,0
12415,Oligosoma maccanni,-45.27900423,169.6585607,0,0,1,0,0,0
12416,Oligosoma maccanni,-45.31665692,169.7777169,0,0,1,0,0,0
12417,Oligosoma maccanni,-45.51882943,169.6014217,0,0,1,0,0,0
12418,Oligosoma maccanni,-45.47244986,169.6680549,0,0,1,0,0,0
12419,Oligosoma maccanni,-45.20107196,169.8026836,0,0,1,0,0,0
12420,Oligosoma maccanni,-45.21538482,169.3352488,0,0,1,0,0,0
12421,Oligosoma maccanni,-45.28735645,169.8958355,0,0,1,0,0,0
12422,Oligosoma maccanni,-45.3039601,169.3655064,0,0,1,0,0,0
12423,Oligosoma maccanni,-45.23648213,169.7820707,0,0,1,0,0,0
12424,Oligosoma maccanni,-45.31843072,169.4173305,0,0,1,0,0,0
12425,Oligosoma maccanni,-45.29662255,169.821671,0,0,1,0,0,0
12426,Oligosoma maccanni,-45.49254079,169.3802618,0,0,1,0,0,0
12427,Oligosoma maccanni,-45.17875615,169.6185056,0,0,1,0,0,0
12428,Oligosoma maccanni,-45.09001586,169.5033281,0,0,1,0,0,0
12429,Oligosoma maccanni,-45.1260294,169.1326892,0,0,1,0,0,0
12430,Oligosoma maccanni,-45.3210361,169.7380057,0,0,1,0,0,0
12431,Oligosoma maccanni,-45.2441503,169.7365322,0,0,1,0,0,0
12432,Oligosoma maccanni,-45.44911779,169.715958,0,0,1,0,0,0
12433,Oligosoma maccanni,-45.21389398,169.6461537,0,0,1,0,0,0
12434,Oligosoma maccanni,-45.30249967,169.7641793,0,0,1,0,0,0
12435,Oligosoma maccanni,-45.21079011,169.6862717,0,0,1,0,0,0
12436,Oligosoma maccanni,-45.19872166,169.6486761,0,0,1,0,0,0
12437,Oligosoma maccanni,-45.17122002,169.5796112,0,0,1,0,0,0
12438,Oligosoma maccanni,-45.20308589,169.5892435,0,0,1,0,0,0
12439,Oligosoma maccanni,-45.18498354,169.6511658,0,0,1,0,0,0
12440,Oligosoma maccanni,-45.22113596,169.7568864,0,0,1,0,0,0
12441,Oligosoma maccanni,-45.48860305,169.6068916,0,0,1,0,0,0
12442,Oligosoma maccanni,-45.22128803,169.812088,0,0,1,0,0,0
12443,Oligosoma maccanni,-45.44179893,170.4079237,0,0,1,0,0,0
12444,Oligosoma maccanni,-45.3515224,170.3253374,0,0,1,0,0,0
12445,Oligosoma maccanni,-45.25169655,170.2967714,0,0,1,0,0,0
12446,Oligosoma maccanni,-45.50522076,170.4083715,0,0,1,0,0,0
12447,Oligosoma maccanni,-45.3047811,170.3491749,0,0,1,0,0,0
12448,Oligosoma maccanni,-45.07377529,168.9818866,0,0,1,0,0,0
12449,Oligosoma maccanni,-44.18868245,170.0398448,0,0,1,0,0,0
12450,Oligosoma maccanni,-44.246714,169.9162937,0,0,1,0,0,0
12451,Oligosoma maccanni,-44.25951468,170.5150122,0,0,1,0,0,0
12452,Oligosoma maccanni,-45.46658028,170.2990856,0,0,1,0,0,0
12453,Oligosoma maccanni,-45.19206073,168.7931589,0,0,1,0,0,0
12454,Oligosoma maccanni,-45.01890427,168.6901897,0,0,1,0,0,0
12455,Oligosoma maccanni,-45.2144289,168.8599988,0,0,1,0,0,0
12456,Oligosoma maccanni,-45.07222961,168.6969655,0,0,1,0,0,0
12457,Oligosoma maccanni,-45.1214059,168.807872,0,0,1,0,0,0
12458,Oligosoma maccanni,-44.96416563,168.8385226,0,0,1,0,0,0
12459,Oligosoma maccanni,-44.93617396,168.7561393,0,0,1,0,0,0
12460,Oligosoma maccanni,-44.97787299,168.7175627,0,0,1,0,0,0
12461,Oligosoma maccanni,-45.06434864,168.7871216,0,0,1,0,0,0
12462,Oligosoma maccanni,-45.12486905,168.7661188,0,0,1,0,0,0
12463,Oligosoma maccanni,-45.08170581,168.7737645,0,0,1,0,0,0
12464,Oligosoma maccanni,-44.99878061,168.7987317,0,0,1,0,0,0
12465,Oligosoma maccanni,-44.95805116,168.8578358,0,0,1,0,0,0
12466,Oligosoma maccanni,-44.92906795,168.8416985,0,0,1,0,0,0
12467,Oligosoma maccanni,-45.15863521,168.7317565,0,0,1,0,0,0
12468,Oligosoma maccanni,-45.07505712,168.7688441,0,0,1,0,0,0
12469,Oligosoma maccanni,-45.12903144,168.6909861,0,0,1,0,0,0
12470,Oligosoma maccanni,-45.01981063,168.8166075,0,0,1,0,0,0
12471,Oligosoma maccanni,-44.9048447,168.7530773,0,0,1,0,0,0
12472,Oligosoma maccanni,-45.02448695,168.7664605,0,0,1,0,0,0
12473,Oligosoma maccanni,-45.13408414,168.6950828,0,0,1,0,0,0
12474,Oligosoma maccanni,-45.26065682,168.7413401,0,0,1,0,0,0
12475,Oligosoma maccanni,-45.08903292,168.7312457,0,0,1,0,0,0
12476,Oligosoma maccanni,-45.55742311,168.6499432,0,0,1,0,0,0
12477,Oligosoma maccanni,-45.68347716,168.5838121,0,0,1,0,0,0
12478,Oligosoma maccanni,-45.55378416,168.6553087,0,0,1,0,0,0
12479,Oligosoma maccanni,-45.71889273,168.5896777,0,0,1,0,0,0
12480,Oligosoma maccanni,-45.70374604,168.5903093,0,0,1,0,0,0
12481,Oligosoma maccanni,-45.08708427,168.8843959,0,0,1,0,0,0
12482,Oligosoma maccanni,-45.10758249,169.0237566,0,0,1,0,0,0
12483,Oligosoma maccanni,-45.07149106,168.9495391,0,0,1,0,0,0
12484,Oligosoma maccanni,-45.0970319,169.0349895,0,0,1,0,0,0
12485,Oligosoma maccanni,-45.05846443,168.9014355,0,0,1,0,0,0
12486,Oligosoma maccanni,-45.16040809,169.0502927,0,0,1,0,0,0
12487,Oligosoma maccanni,-45.04729786,169.0344674,0,0,1,0,0,0
12488,Oligosoma maccanni,-45.09647638,169.0359612,0,0,1,0,0,0
12489,Oligosoma maccanni,-45.08141921,168.9903236,0,0,1,0,0,0
12490,Oligosoma maccanni,-45.12428546,168.9298027,0,0,1,0,0,0
12491,Oligosoma maccanni,-44.96740508,168.9534993,0,0,1,0,0,0
12492,Oligosoma maccanni,-45.15150933,169.0372098,0,0,1,0,0,0
12493,Oligosoma maccanni,-45.02437878,168.962045,0,0,1,0,0,0
12494,Oligosoma maccanni,-45.14008098,169.0854282,0,0,1,0,0,0
12495,Oligosoma maccanni,-45.10475578,168.9200171,0,0,1,0,0,0
12496,Oligosoma maccanni,-45.33942857,168.8573184,0,0,1,0,0,0
12497,Oligosoma maccanni,-45.09009799,168.9304231,0,0,1,0,0,0
12498,Oligosoma maccanni,-45.10623275,168.9450588,0,0,1,0,0,0
12499,Oligosoma maccanni,-45.07820127,168.9238511,0,0,1,0,0,0
12500,Oligosoma maccanni,-45.15193531,168.9747016,0,0,1,0,0,0
12501,Oligosoma maccanni,-45.06637729,169.0188727,0,0,1,0,0,0
12502,Oligosoma maccanni,-45.16020549,169.0109731,0,0,1,0,0,0
12503,Oligosoma maccanni,-45.16798871,168.9447095,0,0,1,0,0,0
12504,Oligosoma maccanni,-45.21914261,169.1029488,0,0,1,0,0,0
12505,Oligosoma maccanni,-45.27786881,169.0197498,0,0,1,0,0,0
12506,Oligosoma maccanni,-45.16873727,169.0900373,0,0,1,0,0,0
12507,Oligosoma maccanni,-45.0945047,169.0819185,0,0,1,0,0,0
12508,Oligosoma maccanni,-45.19044422,168.973305,0,0,1,0,0,0
12509,Oligosoma maccanni,-45.13361672,168.9303169,0,0,1,0,0,0
12510,Oligosoma maccanni,-45.18377904,168.9697611,0,0,1,0,0,0
12511,Oligosoma maccanni,-45.26216634,169.0179222,0,0,1,0,0,0
12512,Oligosoma maccanni,-45.21048863,169.0637876,0,0,1,0,0,0
12513,Oligosoma maccanni,-45.0635872,169.0050908,0,0,1,0,0,0
12514,Oligosoma maccanni,-45.06254782,169.1078542,0,0,1,0,0,0
12515,Oligosoma maccanni,-45.01013882,169.110358,0,0,1,0,0,0
12516,Oligosoma maccanni,-45.19543897,169.1262953,0,0,1,0,0,0
12517,Oligosoma maccanni,-44.99623145,168.9856061,0,0,1,0,0,0
12518,Oligosoma maccanni,-45.07120522,169.0331701,0,0,1,0,0,0
12519,Oligosoma maccanni,-45.08903209,169.0884343,0,0,1,0,0,0
12520,Oligosoma maccanni,-45.16119887,169.1858184,0,0,1,0,0,0
12521,Oligosoma maccanni,-45.05366032,169.1597161,0,0,1,0,0,0
12522,Oligosoma maccanni,-45.31553114,169.2259946,0,0,1,0,0,0
12523,Oligosoma maccanni,-46.00602332,169.3132595,0,0,1,0,0,0
12524,Oligosoma maccanni,-45.81555879,169.2201605,0,0,1,0,0,0
12525,Oligosoma maccanni,-45.90775814,169.1902771,0,0,1,0,0,0
12526,Oligosoma maccanni,-45.79429412,169.163134,0,0,1,0,0,0
12527,Oligosoma maccanni,-45.23225095,168.9573551,0,0,1,0,0,0
12528,Oligosoma maccanni,-44.01441984,170.4974614,0,0,1,0,0,0
12529,Oligosoma maccanni,-43.96252208,170.5907762,0,0,1,0,0,0
12530,Oligosoma maccanni,-44.1063575,170.4665728,0,0,1,0,0,0
12531,Oligosoma maccanni,-45.11174981,170.2910605,0,0,1,0,0,0
12532,Oligosoma maccanni,-45.38108583,170.500508,0,0,1,0,0,0
12533,Oligosoma maccanni,-45.39859075,170.5224528,0,0,1,0,0,0
12534,Oligosoma maccanni,-45.3771225,170.5201643,0,0,1,0,0,0
12535,Oligosoma maccanni,-44.22803195,169.060708,0,0,1,0,0,0
12536,Oligosoma maccanni,-45.05775789,169.2536015,0,0,1,0,0,0
12537,Oligosoma maccanni,-44.81252216,169.2036823,0,0,1,0,0,0
12538,Oligosoma maccanni,-44.72158266,169.0839199,0,0,1,0,0,0
12539,Oligosoma maccanni,-44.95226997,169.1391412,0,0,1,0,0,0
12540,Oligosoma maccanni,-44.95059361,168.9790779,0,0,1,0,0,0
12541,Oligosoma maccanni,-44.72170786,169.229071,0,0,1,0,0,0
12542,Oligosoma maccanni,-44.75031957,169.1517904,0,0,1,0,0,0
12543,Oligosoma maccanni,-44.75530466,169.2872673,0,0,1,0,0,0
12544,Oligosoma maccanni,-44.71959813,169.2607539,0,0,1,0,0,0
12545,Oligosoma maccanni,-44.72828588,169.3342422,0,0,1,0,0,0
12546,Oligosoma maccanni,-44.78483067,169.3591519,0,0,1,0,0,0
12547,Oligosoma maccanni,-44.68545235,169.2031759,0,0,1,0,0,0
12548,Oligosoma maccanni,-44.75669881,169.3104098,0,0,1,0,0,0
12549,Oligosoma maccanni,-44.83090171,169.2119639,0,0,1,0,0,0
12550,Oligosoma maccanni,-44.81157068,169.1970101,0,0,1,0,0,0
12551,Oligosoma maccanni,-44.6514547,169.2275976,0,0,1,0,0,0
12552,Oligosoma maccanni,-44.91601678,169.3588934,0,0,1,0,0,0
12553,Oligosoma maccanni,-44.848559,169.3269212,0,0,1,0,0,0
12554,Oligosoma maccanni,-44.89820949,169.3704211,0,0,1,0,0,0
12555,Oligosoma maccanni,-44.77264211,169.3097895,0,0,1,0,0,0
12556,Oligosoma maccanni,-44.73976759,169.3834718,0,0,1,0,0,0
12557,Oligosoma maccanni,-44.98097362,169.2639388,0,0,1,0,0,0
12558,Oligosoma maccanni,-44.82752439,169.356857,0,0,1,0,0,0
12559,Oligosoma maccanni,-44.82209221,169.2210091,0,0,1,0,0,0
12560,Oligosoma maccanni,-44.66909926,169.323435,0,0,1,0,0,0
12561,Oligosoma maccanni,-44.6836309,169.1822205,0,0,1,0,0,0
12562,Oligosoma maccanni,-44.67465344,169.2430951,0,0,1,0,0,0
12563,Oligosoma maccanni,-44.72329648,169.1585643,0,0,1,0,0,0
12564,Oligosoma maccanni,-44.73414226,169.3107324,0,0,1,0,0,0
12565,Oligosoma maccanni,-45.05470956,169.2230575,0,0,1,0,0,0
12566,Oligosoma maccanni,-44.907657,169.2058963,0,0,1,0,0,0
12567,Oligosoma maccanni,-45.05562582,169.0834713,0,0,1,0,0,0
12568,Oligosoma maccanni,-44.80126548,168.9347804,0,0,1,0,0,0
12569,Oligosoma maccanni,-44.94399652,169.0731284,0,0,1,0,0,0
12570,Oligosoma maccanni,-44.90500497,169.41774,0,0,1,0,0,0
12571,Oligosoma maccanni,-44.78637595,169.3746143,0,0,1,0,0,0
12572,Oligosoma maccanni,-44.65205059,169.3312395,0,0,1,0,0,0
12573,Oligosoma maccanni,-44.4735282,169.4323503,0,0,1,0,0,0
12574,Oligosoma maccanni,-44.58167106,169.2854546,0,0,1,0,0,0
12575,Oligosoma maccanni,-44.51083572,169.4270233,0,0,1,0,0,0
12576,Oligosoma maccanni,-44.68357787,169.3431451,0,0,1,0,0,0
12577,Oligosoma maccanni,-44.49682734,169.3597129,0,0,1,0,0,0
12578,Oligosoma maccanni,-44.47961943,169.3845059,0,0,1,0,0,0
12579,Oligosoma maccanni,-44.59064202,169.4259116,0,0,1,0,0,0
12580,Oligosoma maccanni,-44.55586865,169.4025569,0,0,1,0,0,0
12581,Oligosoma maccanni,-44.49694483,169.2454257,0,0,1,0,0,0
12582,Oligosoma maccanni,-44.52354488,169.2533499,0,0,1,0,0,0
12583,Oligosoma maccanni,-44.63792931,169.2485757,0,0,1,0,0,0
12584,Oligosoma maccanni,-44.5643834,169.1648556,0,0,1,0,0,0
12585,Oligosoma maccanni,-44.71515643,169.2522476,0,0,1,0,0,0
12586,Oligosoma maccanni,-44.63605717,169.3819321,0,0,1,0,0,0
12587,Oligosoma maccanni,-44.4699946,169.4012823,0,0,1,0,0,0
12588,Oligosoma maccanni,-44.59367558,169.431527,0,0,1,0,0,0
12589,Oligosoma maccanni,-44.61038808,169.493463,0,0,1,0,0,0
12590,Oligosoma maccanni,-45.04046865,169.3413973,0,0,1,0,0,0
12591,Oligosoma maccanni,-44.86197021,169.4402064,0,0,1,0,0,0
12592,Oligosoma maccanni,-44.96902369,169.3946201,0,0,1,0,0,0
12593,Oligosoma maccanni,-44.8399835,169.5539846,0,0,1,0,0,0
12594,Oligosoma maccanni,-44.89124735,169.6015633,0,0,1,0,0,0
12595,Oligosoma maccanni,-44.8099376,169.4998747,0,0,1,0,0,0
12596,Oligosoma maccanni,-44.84906035,169.3418219,0,0,1,0,0,0
12597,Oligosoma maccanni,-44.90732497,169.4648411,0,0,1,0,0,0
12598,Oligosoma maccanni,-45.03421167,169.3826219,0,0,1,0,0,0
12599,Oligosoma maccanni,-44.85063591,169.421363,0,0,1,0,0,0
12600,Oligosoma maccanni,-45.03840779,169.3834624,0,0,1,0,0,0
12601,Oligosoma maccanni,-44.75628195,169.6426863,0,0,1,0,0,0
12602,Oligosoma maccanni,-45.45486585,170.1978065,0,0,1,0,0,0
12603,Oligosoma maccanni,-45.38886235,170.3320125,0,0,1,0,0,0
12604,Oligosoma maccanni,-44.33400274,170.4862468,0,0,1,0,0,0
12605,Oligosoma maccanni,-43.89386844,170.4431332,0,0,1,0,0,0
12606,Oligosoma maccanni,-44.36460353,169.9369155,0,0,1,0,0,0
12607,Oligosoma maccanni,-44.64226907,169.4367684,0,0,1,0,0,0
12608,Oligosoma maccanni,-44.90827579,169.386685,0,0,1,0,0,0
12609,Oligosoma maccanni,-45.3289894,168.2742957,0,0,1,0,0,0
12610,Oligosoma maccanni,-45.25975795,169.3879347,0,0,1,0,0,0
12611,Oligosoma maccanni,-44.96542025,170.0313165,0,0,1,0,0,0
12612,Oligosoma maccanni,-44.7712345,169.9786168,0,0,1,0,0,0
12613,Oligosoma maccanni,-45.01237063,168.9501378,0,0,1,0,0,0
12614,Oligosoma maccanni,-45.30400256,170.2677187,0,0,1,0,0,0
12615,Oligosoma maccanni,-45.40810312,170.2865735,0,0,1,0,0,0
12616,Oligosoma maccanni,-45.61869081,170.2018222,0,0,1,0,0,0
12617,Oligosoma maccanni,-45.6447479,170.2393237,0,0,1,0,0,0
12618,Oligosoma maccanni,-45.4982768,170.1639375,0,0,1,0,0,0
12619,Oligosoma maccanni,-45.58760593,170.2268518,0,0,1,0,0,0
12620,Oligosoma maccanni,-45.76348309,170.223299,0,0,1,0,0,0
12621,Oligosoma maccanni,-45.60353116,170.2035508,0,0,1,0,0,0
12622,Oligosoma maccanni,-45.72409835,170.3491135,0,0,1,0,0,0
12623,Oligosoma maccanni,-45.7335177,170.3080887,0,0,1,0,0,0
12624,Oligosoma maccanni,-45.66916652,170.2010427,0,0,1,0,0,0
12625,Oligosoma maccanni,-45.67744838,170.302787,0,0,1,0,0,0
12626,Oligosoma maccanni,-45.72709265,170.3315382,0,0,1,0,0,0
12627,Oligosoma maccanni,-45.56632757,170.2467526,0,0,1,0,0,0
12628,Oligosoma maccanni,-45.50484149,170.2221087,0,0,1,0,0,0
12629,Oligosoma maccanni,-45.46757757,170.3277634,0,0,1,0,0,0
12630,Oligosoma maccanni,-45.62334813,170.1863356,0,0,1,0,0,0
12631,Oligosoma maccanni,-45.68614576,170.2613061,0,0,1,0,0,0
12632,Oligosoma maccanni,-45.64825839,170.185879,0,0,1,0,0,0
12633,Oligosoma maccanni,-45.62455587,170.1570159,0,0,1,0,0,0
12634,Oligosoma maccanni,-45.58898054,170.142434,0,0,1,0,0,0
12635,Oligosoma maccanni,-45.72703271,170.2936238,0,0,1,0,0,0
12636,Oligosoma maccanni,-45.60782292,170.1361605,0,0,1,0,0,0
12637,Oligosoma maccanni,-45.49733793,170.0592634,0,0,1,0,0,0
12638,Oligosoma maccanni,-45.57534569,170.0911091,0,0,1,0,0,0
12639,Oligosoma maccanni,-45.64651664,170.0363745,0,0,1,0,0,0
12640,Oligosoma maccanni,-45.67800527,170.1003089,0,0,1,0,0,0
12641,Oligosoma maccanni,-45.50079002,170.0464541,0,0,1,0,0,0
12642,Oligosoma maccanni,-45.56007907,170.015056,0,0,1,0,0,0
12643,Oligosoma maccanni,-45.44667668,170.0809114,0,0,1,0,0,0
12644,Oligosoma maccanni,-45.65499923,169.977824,0,0,1,0,0,0
12645,Oligosoma maccanni,-45.56493522,169.955266,0,0,1,0,0,0
12646,Oligosoma maccanni,-45.69084966,170.0071728,0,0,1,0,0,0
12647,Oligosoma maccanni,-45.54044879,169.9905376,0,0,1,0,0,0
12648,Oligosoma maccanni,-45.53831246,170.0931878,0,0,1,0,0,0
12649,Oligosoma maccanni,-45.73520466,170.0373627,0,0,1,0,0,0
12650,Oligosoma maccanni,-45.68563071,170.1122645,0,0,1,0,0,0
12651,Oligosoma maccanni,-45.56093589,170.1140217,0,0,1,0,0,0
12652,Oligosoma maccanni,-45.62487249,170.1134155,0,0,1,0,0,0
